MODE_OF_TRANSPORTATION,WEATHER,GEOPOLITICAL_RISKS,ROUTE_OPTIMIZATION,NO_OF_DELIVERED,CUSTUMER_RATING,EFFICIENCY,EFFICIENT,BEST OR NOT
3,4,1,8,72,3,77.41799999999999,1,BEST
3,1,1,5,14,5,21.184,0,NOT
3,3,0,8,48,8,54.321,0,NOT
1,2,0,7,8,2,18.523000000000003,0,NOT
1,3,0,10,61,6,69.33200000000001,0,BEST
2,2,1,5,13,10,22.060000000000002,0,NOT
1,4,0,9,31,6,43.054,0,NOT
3,1,0,8,15,10,24.708000000000002,0,NOT
1,3,1,9,11,1,27.003,0,NOT
2,4,0,7,2,6,14.783999999999999,0,NOT
3,3,1,5,11,1,19.937,0,NOT
1,4,1,4,80,4,79.416,1,NOT
2,1,0,3,61,1,56.323,0,NOT
2,1,0,4,68,3,63.942,0,NOT
1,2,1,2,71,8,67.435,0,NOT
2,3,0,8,61,9,66.027,0,BEST
1,2,1,7,89,5,90.041,1,BEST
1,3,1,3,31,6,35.467,0,NOT
1,1,0,3,34,10,34.516999999999996,0,NOT
1,3,1,5,92,4,90.34,1,NOT
3,2,0,1,91,6,79.56800000000001,1,NOT
3,2,1,7,13,7,24.282999999999998,0,NOT
1,3,0,8,66,1,70.225,1,BEST
2,2,1,3,66,8,64.125,0,NOT
1,1,0,1,12,8,12.607000000000001,0,NOT
3,2,0,6,83,1,79.84399999999998,1,NOT
3,1,0,7,42,9,46.167,0,NOT
1,2,1,9,38,8,49.758,0,NOT
3,4,0,9,34,1,44.151,0,NOT
1,1,1,5,41,2,45.069,0,NOT
3,3,1,9,95,10,98.257,1,BEST
3,3,0,3,66,8,62.195,0,NOT
1,4,1,8,95,10,98.651,1,BEST
1,4,0,4,48,1,49.695,0,NOT
1,4,1,7,41,8,50.940999999999995,0,NOT
1,2,0,9,67,8,72.298,1,BEST
1,3,1,9,30,4,43.438,0,NOT
3,1,0,8,85,2,83.81,1,BEST
3,3,0,3,13,2,16.53,0,NOT
3,3,0,8,62,4,65.959,0,BEST
1,3,0,8,70,2,73.71300000000001,1,BEST
1,1,1,3,62,3,60.065999999999995,0,NOT
3,3,1,2,14,8,18.540000000000003,0,NOT
3,1,0,10,9,1,21.898000000000003,0,NOT
2,1,0,4,93,3,85.26699999999998,1,NOT
2,2,0,5,59,10,59.101,0,NOT
2,1,1,4,47,7,48.53,0,NOT
3,3,1,6,47,7,52.596999999999994,0,NOT
3,3,1,7,59,2,63.949,0,NOT
2,2,0,6,93,5,89.219,1,NOT
3,3,1,5,43,5,47.537000000000006,0,NOT
3,3,0,4,58,3,56.487,0,NOT
2,1,0,6,86,1,82.136,1,NOT
2,1,0,1,33,6,29.827,0,NOT
3,1,0,1,17,3,15.409999999999998,0,NOT
1,2,0,9,22,4,33.609,0,NOT
1,3,1,5,83,5,82.73899999999999,1,NOT
3,1,0,8,47,1,51.32,0,NOT
2,2,1,5,18,6,26.020999999999997,0,NOT
1,2,0,9,89,5,90.836,1,BEST
2,3,0,9,88,10,90.63,1,BEST
2,4,1,10,10,2,27.989000000000004,0,NOT
3,4,0,3,61,2,58.282000000000004,0,NOT
3,4,0,2,33,4,33.054,0,NOT
3,1,0,3,45,10,42.818,0,NOT
3,1,0,7,45,10,48.802,0,NOT
1,3,1,3,89,5,84.865,1,NOT
3,3,1,8,41,5,50.319,0,NOT
2,2,0,7,63,5,65.125,0,BEST
1,3,0,6,47,6,51.406000000000006,0,NOT
3,2,1,7,45,4,51.351,0,NOT
2,4,0,9,7,7,22.117,0,NOT
2,3,0,8,39,5,46.957,0,NOT
3,3,1,10,57,10,67.33900000000001,0,NOT
3,3,0,9,100,4,99.869,1,BEST
3,1,1,2,3,3,7.161,0,NOT
1,3,1,8,96,2,98.08800000000001,1,BEST
1,2,0,5,37,8,40.724,0,NOT
1,2,1,8,6,1,20.434,0,NOT
1,1,0,7,5,6,15.459999999999997,0,NOT
3,4,0,3,34,5,35.479,0,NOT
3,1,1,1,17,10,18.139,0,NOT
2,1,1,1,95,9,85.13799999999999,1,NOT
1,3,0,4,43,7,45.078,0,NOT
2,2,0,8,23,7,32.653000000000006,0,NOT
1,2,0,6,92,4,88.831,1,NOT
2,1,1,1,13,7,15.040000000000001,0,NOT
1,2,0,3,16,9,19.895,0,NOT
2,3,1,8,26,1,37.761,0,NOT
2,2,1,2,49,10,48.279999999999994,0,NOT
3,3,0,2,20,5,21.232999999999997,0,NOT
2,2,1,6,40,10,46.586999999999996,0,NOT
1,2,1,6,94,9,93.114,1,NOT
3,1,1,10,3,10,19.661000000000005,0,NOT
1,2,0,4,27,6,30.546,0,NOT
3,3,0,9,80,1,82.58099999999999,1,BEST
3,2,0,9,75,3,77.66,1,BEST
3,1,1,9,31,4,41.593,0,NOT
2,4,0,10,92,5,95.966,1,BEST
3,4,1,2,21,2,24.863,0,NOT
1,2,1,5,50,8,54.01,0,NOT
1,3,0,1,27,10,27.17,0,NOT
2,4,1,5,90,4,88.901,1,NOT
1,2,1,10,50,10,61.641999999999996,0,NOT
3,1,1,9,37,4,46.711,0,NOT
2,1,0,10,73,1,77.03099999999999,1,BEST
2,2,0,10,39,5,49.141,0,NOT
1,3,1,1,84,3,77.456,1,NOT
2,4,0,7,99,7,97.601,1,BEST
2,4,1,4,10,9,19.544999999999998,0,NOT
3,4,0,4,47,4,47.988,0,NOT
3,1,1,4,93,6,87.151,1,NOT
3,1,0,6,35,7,38.548,0,NOT
2,3,1,10,32,2,45.947,0,NOT
1,1,1,7,52,2,57.444,0,NOT
2,4,0,6,68,5,69.50999999999999,0,NOT
2,1,0,6,13,7,20.322999999999997,0,NOT
1,4,0,10,29,8,42.995999999999995,0,NOT
2,4,0,2,59,9,56.153,0,NOT
3,4,1,1,64,9,60.577999999999996,0,NOT
3,1,0,6,12,9,19.081,0,NOT
3,2,0,3,60,6,56.117000000000004,0,NOT
3,4,0,9,94,3,95.48299999999999,1,BEST
2,4,1,1,100,5,91.523,1,NOT
2,1,0,8,100,8,97.602,1,BEST
1,2,0,1,23,2,22.342000000000002,0,NOT
1,3,0,5,81,3,78.684,1,NOT
3,4,0,1,88,2,78.321,1,NOT
1,4,1,2,22,5,27.025999999999996,0,NOT
2,3,1,2,58,9,56.68899999999999,0,NOT
2,1,1,1,71,6,64.43799999999999,0,NOT
3,3,1,8,43,5,52.025000000000006,0,NOT
2,4,1,6,33,4,41.776,0,NOT
3,3,0,6,10,8,18.915,0,NOT
2,4,1,7,31,4,41.566,0,NOT
1,4,1,3,14,7,21.849999999999998,0,NOT
2,2,1,2,54,3,52.013,0,NOT
2,4,1,9,65,1,73.332,1,BEST
2,2,0,10,97,7,98.767,1,BEST
2,4,1,3,69,9,68.376,0,NOT
2,1,1,8,10,3,22.649,0,NOT
1,1,0,2,93,4,82.892,1,NOT
3,2,0,10,24,1,35.501000000000005,0,NOT
1,4,1,4,82,7,81.35,1,NOT
3,1,1,10,12,3,26.806000000000004,0,NOT
1,2,0,6,74,6,73.629,1,NOT
2,2,1,2,86,1,79.157,1,NOT
2,4,0,8,49,1,55.991,0,NOT
1,3,1,8,29,5,41.165,0,NOT
1,4,0,1,67,7,61.86999999999999,0,NOT
3,2,0,7,27,9,34.17999999999999,0,NOT
2,4,0,5,76,3,74.68599999999999,1,NOT
3,3,0,4,93,10,86.874,1,NOT
3,2,0,3,44,5,42.393,0,NOT
2,4,1,8,35,6,46.626000000000005,0,NOT
3,4,1,3,8,2,15.27,0,NOT
2,4,1,10,90,6,96.533,1,BEST
1,4,0,5,34,5,39.553000000000004,0,NOT
1,1,0,5,5,4,12.316,0,NOT
3,2,0,9,46,5,53.075,0,NOT
1,2,1,10,5,7,23.029,0,NOT
2,1,0,6,54,3,54.992,0,NOT
1,4,1,2,14,2,19.974,0,NOT
1,4,0,9,53,8,61.971999999999994,0,NOT
3,3,1,2,18,3,21.572000000000003,0,NOT
1,2,1,4,49,1,51.129,0,NOT
2,3,1,4,40,4,43.947,0,NOT
3,2,0,8,27,3,35.22,0,NOT
1,4,0,7,64,7,68.28699999999999,0,BEST
2,3,0,8,48,7,54.786,0,NOT
3,1,1,8,63,3,67.317,0,BEST
1,1,0,7,48,6,52.139,0,NOT
1,2,1,3,83,9,79.243,1,NOT
2,1,1,1,67,2,60.721999999999994,0,NOT
2,2,1,5,31,4,36.958,0,NOT
2,4,1,10,36,1,50.091,0,NOT
1,2,0,4,17,10,22.32,0,NOT
3,2,0,2,60,9,54.849,0,NOT
3,1,0,2,11,1,11.636,0,NOT
1,3,1,5,8,5,18.764,0,NOT
3,4,1,5,81,9,81.063,1,NOT
1,1,0,4,91,3,84.102,1,NOT
1,4,1,6,70,7,74.106,1,NOT
3,1,0,1,73,5,63.33,0,NOT
1,3,1,6,73,5,75.705,1,NOT
1,2,1,7,30,5,39.714000000000006,0,NOT
2,3,1,8,96,4,97.69900000000001,1,BEST
1,2,1,6,95,2,93.435,1,NOT
2,2,0,9,95,5,95.413,1,BEST
2,3,1,10,54,9,65.245,0,NOT
1,2,0,7,75,1,75.598,1,BEST
1,1,1,4,65,3,64.121,0,NOT
3,2,1,4,10,7,17.236,0,NOT
1,1,1,4,66,7,65.278,0,NOT
2,4,0,9,31,7,42.589,0,NOT
3,2,0,9,97,2,96.35000000000001,1,BEST
3,3,0,6,56,1,57.621,0,NOT
3,1,0,1,82,3,70.85499999999999,1,NOT
3,4,1,7,55,4,61.497,0,NOT
3,4,0,3,88,6,81.61699999999999,1,NOT
3,4,0,5,77,9,75.454,1,NOT
3,3,0,8,73,10,75.798,1,BEST
3,1,0,4,18,2,20.675,0,NOT
3,1,1,3,3,8,9.036999999999999,0,NOT
1,3,0,6,78,5,77.77299999999998,1,NOT
3,4,1,10,35,7,49.153000000000006,0,NOT
2,1,1,3,73,5,69.05999999999999,0,NOT
3,1,0,2,36,2,33.037,0,NOT
1,1,0,4,54,6,52.769,0,NOT
1,2,1,4,61,8,61.897,0,NOT
1,4,0,2,25,10,27.768,0,NOT
1,1,1,3,44,5,44.864,0,NOT
3,1,0,9,88,7,88.24499999999999,1,BEST
2,2,1,5,32,7,38.039,0,NOT
1,1,0,2,82,8,73.813,1,NOT
1,2,1,5,78,3,77.51399999999998,1,NOT
2,1,0,5,31,4,33.953,0,NOT
2,3,1,2,76,1,71.435,1,NOT
3,1,1,8,45,4,52.039,0,NOT
3,1,1,3,69,10,65.48700000000001,0,NOT
3,2,1,6,49,3,53.190999999999995,0,NOT
3,3,0,1,18,10,18.411,0,NOT
3,2,0,7,53,4,55.977999999999994,0,NOT
1,4,1,7,25,7,37.217,0,NOT
1,2,0,5,16,4,22.506999999999998,0,NOT
2,3,1,2,31,4,33.278,0,NOT
1,1,1,5,24,5,30.796000000000003,0,NOT
1,3,1,6,1,5,14.289,0,NOT
3,2,1,9,69,6,74.967,1,BEST
3,2,1,6,35,6,41.477000000000004,0,NOT
3,2,0,4,7,4,12.252,0,NOT
3,4,0,9,83,10,86.63199999999999,1,BEST
3,3,1,8,66,8,71.87200000000001,1,BEST
2,1,0,2,17,6,17.675,0,NOT
1,2,0,6,84,4,82.007,1,NOT
2,3,1,10,55,2,65.566,0,NOT
3,4,0,10,43,10,54.008,0,NOT
3,2,1,6,74,4,74.592,1,NOT
3,3,1,3,96,1,89.45,1,NOT
2,3,0,6,75,10,75.05300000000001,1,NOT
3,4,1,3,44,10,46.58599999999999,0,NOT
2,4,0,1,100,10,89.706,1,NOT
2,3,1,5,81,9,80.796,1,NOT
1,3,0,10,37,6,48.86,0,NOT
3,3,0,2,1,7,5.178,0,NOT
3,4,0,4,49,4,49.694,0,NOT
2,3,0,3,48,1,46.85,0,NOT
1,4,1,1,73,7,69.18499999999999,0,NOT
2,3,0,4,46,5,46.944,0,NOT
2,3,1,6,25,1,33.916000000000004,0,NOT
3,4,0,8,72,9,75.67699999999999,1,BEST
1,1,1,9,21,6,34.297000000000004,0,NOT
2,1,0,7,72,6,72.07000000000001,1,BEST
1,3,1,2,14,7,19.546,0,NOT
2,2,0,4,47,3,46.837,0,NOT
3,1,0,7,96,7,92.077,1,BEST
1,4,0,4,39,1,42.017999999999994,0,NOT
3,1,1,2,6,3,9.72,0,NOT
3,4,0,10,17,6,31.526,0,NOT
1,2,0,1,63,8,56.91799999999999,0,NOT
2,1,0,5,10,7,16.268,0,NOT
2,4,0,5,33,7,38.31100000000001,0,NOT
3,2,0,7,4,7,14.408999999999999,0,NOT
1,2,1,6,21,9,30.845000000000002,0,NOT
1,1,0,10,77,5,81.288,1,BEST
3,2,1,2,5,3,9.674999999999999,0,NOT
3,3,1,6,29,7,37.242999999999995,0,NOT
3,1,1,6,65,6,66.259,0,NOT
1,2,1,7,53,4,59.257,0,NOT
2,4,0,9,85,7,88.651,1,BEST
3,3,1,7,72,8,75.494,1,BEST
3,4,1,1,43,2,42.133,0,NOT
2,3,1,7,93,5,93.71999999999998,1,BEST
1,3,0,7,16,10,26.763,0,NOT
1,1,0,5,81,9,77.524,1,NOT
2,4,0,5,68,8,68.242,0,NOT
2,2,1,6,44,1,49.315,0,NOT
1,1,1,6,98,2,95.18599999999999,1,NOT
2,2,0,6,68,7,68.04599999999999,0,NOT
1,3,1,3,61,9,61.285,0,NOT
2,4,1,10,63,3,73.27399999999999,1,BEST
3,1,0,6,7,8,14.74,0,NOT
3,1,0,10,67,5,71.67599999999999,1,BEST
2,3,0,1,70,5,62.928000000000004,0,NOT
2,1,1,4,92,7,86.91499999999999,1,NOT
3,2,0,4,31,9,33.104,0,NOT
3,2,0,7,43,2,47.29600000000001,0,NOT
1,3,1,9,69,9,77.085,1,BEST
3,1,1,5,85,5,81.74699999999999,1,NOT
2,3,1,8,74,8,79.23700000000001,1,BEST
3,3,1,5,32,8,38.382,0,NOT
2,3,1,10,44,9,56.714999999999996,0,NOT
2,1,1,4,79,5,75.67399999999999,1,NOT
2,4,0,4,43,7,45.345,0,NOT
2,2,1,2,28,3,29.835,0,NOT
1,2,0,2,13,10,15.916,0,NOT
2,1,0,2,22,2,21.636,0,NOT
2,3,0,7,22,6,31.035999999999998,0,NOT
3,2,0,4,64,9,61.253,0,NOT
1,1,0,3,48,9,46.383,0,NOT
3,4,1,10,58,5,68.61999999999999,0,NOT
1,3,1,9,78,2,84.22999999999999,1,BEST
2,4,1,3,72,9,70.935,1,NOT
3,4,0,8,94,4,94.063,1,BEST
1,3,0,10,36,4,47.855000000000004,0,NOT
2,2,0,5,15,4,21.113,0,NOT
2,4,0,6,4,4,14.842,0,NOT
1,1,0,2,1,8,4.72,0,NOT
3,4,1,10,13,7,30.387000000000004,0,NOT
1,2,0,3,90,9,83.017,1,NOT
1,3,0,10,87,9,91.738,1,BEST
1,1,1,5,69,7,69.333,0,NOT
2,2,0,4,13,4,17.910999999999998,0,NOT
2,1,1,10,20,2,34.095,0,NOT
2,3,0,6,77,4,76.303,1,NOT
2,3,1,10,39,6,52.222,0,NOT
1,4,1,8,82,10,87.562,1,BEST
2,1,0,6,55,6,56.073,0,NOT
1,4,0,3,28,9,31.747000000000003,0,NOT
2,1,1,10,84,3,88.76299999999999,1,BEST
1,3,1,10,78,9,86.25799999999998,1,BEST
1,1,1,3,99,9,92.083,1,NOT
1,1,1,3,40,5,41.452,0,NOT
3,1,0,6,61,1,60.27,0,NOT
1,1,0,1,24,8,22.843,0,NOT
3,4,1,5,72,9,73.386,1,NOT
3,4,0,4,80,5,76.213,1,NOT
1,2,1,5,67,9,68.58699999999999,0,NOT
2,1,1,4,96,7,90.327,1,NOT
3,1,0,6,78,8,75.303,1,NOT
1,2,1,3,65,5,63.585,0,NOT
2,4,1,6,21,7,31.768,0,NOT
3,2,0,4,48,6,47.37700000000001,0,NOT
1,1,1,1,96,5,86.228,1,NOT
2,1,0,6,22,4,27.771999999999995,0,NOT
2,3,1,6,72,2,74.083,1,NOT
2,3,0,1,27,10,26.629,0,NOT
3,1,0,4,22,8,24.543,0,NOT
1,3,0,4,85,7,80.904,1,NOT
2,3,1,8,7,2,21.630000000000003,0,NOT
3,4,0,9,84,7,87.25699999999999,1,BEST
3,3,0,8,31,1,39.288,0,NOT
3,4,1,10,27,6,42.253,0,NOT
1,2,0,5,57,2,57.328,0,NOT
2,4,0,10,58,4,66.888,0,NOT
3,2,1,6,94,1,91.42399999999999,1,NOT
3,1,0,7,47,6,50.20400000000001,0,NOT
2,2,0,2,34,2,32.68,0,NOT
1,2,0,5,47,7,49.178,0,NOT
2,3,1,8,89,5,91.804,1,BEST
1,4,1,5,92,9,91.52799999999999,1,NOT
1,3,1,6,16,1,26.78,0,NOT
2,1,1,4,51,9,52.093999999999994,0,NOT
2,3,1,5,93,9,91.032,1,NOT
3,1,1,2,69,4,63.535000000000004,0,NOT
1,4,1,6,38,7,46.81,0,NOT
2,1,0,4,67,8,63.468999999999994,0,NOT
2,2,1,7,48,2,54.29900000000001,0,NOT
3,2,1,1,63,7,57.956999999999994,0,NOT
1,4,0,8,21,4,32.876000000000005,0,NOT
2,3,0,3,66,9,62.812,0,NOT
3,1,1,8,38,4,46.068000000000005,0,NOT
1,3,0,9,36,1,46.131,0,NOT
3,1,1,2,54,3,50.664,0,NOT
3,1,1,4,51,8,51.477,0,NOT
2,2,1,7,92,3,91.907,1,BEST
3,3,1,8,38,10,48.14,0,NOT
1,3,0,2,97,2,87.768,1,NOT
2,2,0,1,78,8,69.172,0,NOT
3,2,0,4,31,3,32.648,0,NOT
1,1,0,8,63,9,66.65799999999999,0,BEST
2,2,0,1,9,10,10.467,0,NOT
2,3,1,2,97,8,89.88000000000001,1,NOT
3,3,1,2,37,9,38.235,0,NOT
3,4,0,8,21,6,31.946,0,NOT
2,1,1,2,68,10,63.678999999999995,0,NOT
3,3,0,9,65,1,69.786,0,BEST
2,2,0,8,38,7,45.44800000000001,0,NOT
1,4,0,9,28,3,40.267,0,NOT
2,1,1,1,93,9,83.43199999999999,1,NOT
2,2,1,7,91,7,91.358,1,BEST
1,1,0,3,47,5,45.226000000000006,0,NOT
1,1,0,4,88,1,81.39099999999999,1,NOT
2,3,1,1,81,8,74.736,1,NOT
1,4,0,9,91,6,94.23400000000001,1,BEST
3,4,1,10,34,3,47.996,0,NOT
1,3,0,9,99,3,100.022,1,BEST
3,1,0,6,35,9,38.699999999999996,0,NOT
3,2,1,2,4,6,9.05,0,NOT
3,3,0,10,44,10,54.053,0,NOT
2,2,1,8,63,10,69.19800000000001,0,BEST
1,1,0,10,43,1,51.982000000000006,0,NOT
1,1,0,6,82,3,79.41699999999999,1,NOT
1,2,1,3,48,1,48.78,0,NOT
1,3,0,4,70,8,68.185,0,NOT
1,3,0,1,17,1,17.956,0,NOT
1,2,1,10,15,1,31.103,0,NOT
3,2,1,4,74,10,72.056,1,NOT
2,2,1,6,48,9,53.335,0,NOT
2,1,1,9,57,10,64.76800000000001,0,NOT
3,3,0,6,68,9,68.46499999999999,0,NOT
3,2,1,4,20,9,25.918,0,NOT
3,4,0,5,99,10,94.296,1,NOT
2,2,0,3,28,1,28.982,0,NOT
1,2,1,9,64,3,71.556,1,BEST
3,1,0,2,67,2,59.48,0,NOT
3,2,0,3,40,5,38.981,0,NOT
1,2,0,10,34,9,45.721,0,NOT
3,3,1,5,97,1,93.29499999999999,1,NOT
2,3,1,3,27,6,31.514,0,NOT
2,3,0,3,13,6,17.375,0,NOT
2,1,0,10,91,5,92.689,1,BEST
2,4,1,7,96,10,97.46700000000001,1,BEST
2,3,1,10,46,8,58.345,0,NOT
2,2,0,4,21,3,24.659000000000002,0,NOT
1,1,1,2,48,1,46.476000000000006,0,NOT
1,3,1,6,17,3,27.785,0,NOT
2,1,0,5,69,2,66.215,0,NOT
3,3,0,4,88,3,82.07699999999998,1,NOT
1,2,0,1,93,4,82.204,1,NOT
1,4,0,6,83,1,82.54199999999999,1,NOT
3,4,0,5,37,7,41.182,0,NOT
3,3,1,10,39,7,51.75699999999999,0,NOT
3,3,0,9,28,8,38.757,0,NOT
1,3,0,9,85,5,88.232,1,BEST
1,2,0,1,45,2,41.108,0,NOT
2,3,1,6,63,5,66.63399999999999,0,NOT
1,1,1,6,54,6,57.958,0,NOT
1,4,0,6,13,6,23.212,0,NOT
1,2,1,2,76,4,71.396,1,NOT
2,3,0,9,73,6,77.531,1,BEST
2,1,1,3,58,6,56.341,0,NOT
1,3,0,6,4,4,14.575000000000001,0,NOT
3,4,0,6,89,5,86.88199999999999,1,NOT
2,2,1,7,39,1,46.546,0,NOT
1,3,0,9,55,3,62.49,0,NOT
2,2,0,1,20,6,19.546,0,NOT
1,2,0,3,38,10,38.737,0,NOT
3,3,0,6,38,6,42.647000000000006,0,NOT
1,4,0,2,52,5,50.419000000000004,0,NOT
3,1,0,2,61,6,54.666000000000004,0,NOT
3,1,0,4,8,10,12.752999999999998,0,NOT
3,3,0,5,15,2,21.228,0,NOT
3,3,0,6,68,8,68.389,0,NOT
2,4,1,3,2,9,11.225,0,NOT
1,1,0,7,73,4,73.312,1,BEST
3,2,0,10,25,7,36.81,0,NOT
2,2,0,6,95,4,90.849,1,NOT
3,3,1,2,4,2,9.554,0,NOT
2,2,1,1,24,1,24.775000000000002,0,NOT
3,2,1,5,5,6,14.390999999999998,0,NOT
3,1,1,2,10,8,13.512,0,NOT
2,4,0,10,3,5,20.049,0,NOT
1,3,0,5,84,9,81.699,1,NOT
3,2,0,7,33,10,39.374,0,NOT
2,1,0,8,90,3,88.692,1,BEST
2,4,1,9,78,1,84.42099999999999,1,BEST
2,1,0,5,68,1,65.28599999999999,0,NOT
3,3,0,6,26,4,32.259,0,NOT
1,4,0,9,39,2,49.574,0,NOT
3,2,1,6,80,10,80.166,1,NOT
2,2,0,1,5,4,6.599,0,NOT
1,4,0,5,51,7,54.206,0,NOT
1,2,0,8,43,8,50.33,0,NOT
1,2,0,1,71,5,63.513999999999996,0,NOT
1,4,0,2,81,1,74.852,1,NOT
2,1,1,8,57,4,62.816,0,NOT
2,2,0,8,98,10,96.856,1,BEST
1,2,1,9,77,6,82.873,1,BEST
1,2,1,1,11,4,14.455,0,NOT
3,4,0,4,77,5,73.654,1,NOT
2,1,0,8,50,3,54.571999999999996,0,NOT
1,3,0,4,28,5,32.131,0,NOT
3,4,0,2,30,4,30.494999999999997,0,NOT
3,2,0,8,6,4,17.383,0,NOT
2,3,1,10,88,5,93.94299999999998,1,BEST
1,2,0,1,4,5,6.363,0,NOT
1,1,1,9,35,5,46.163000000000004,0,NOT
3,3,0,9,40,4,48.689,0,NOT
1,4,1,1,16,4,20.336,0,NOT
1,3,1,5,25,7,33.417,0,NOT
2,2,1,10,6,9,23.493000000000006,0,NOT
3,4,0,8,99,1,98.1,1,BEST
2,3,0,10,25,6,38.083,0,NOT
3,4,0,8,80,7,82.34899999999999,1,BEST
1,4,0,1,70,7,64.429,0,NOT
2,4,1,2,42,5,43.545,0,NOT
2,2,1,9,97,8,99.54400000000001,1,BEST
2,3,0,10,52,1,60.734,0,NOT
3,4,1,10,52,8,63.73,0,NOT
2,1,1,6,30,7,37.021,0,NOT
3,3,1,4,1,7,10.366999999999999,0,NOT
3,2,1,4,64,7,63.298,0,NOT
3,2,0,7,53,10,56.43399999999999,0,NOT
3,4,0,8,37,4,45.442,0,NOT
1,3,1,8,62,8,69.542,0,BEST
1,1,1,3,55,3,54.095,0,NOT
1,4,1,7,77,7,81.573,1,BEST
3,3,1,7,15,8,26.873,0,NOT
2,1,1,5,11,1,18.862000000000002,0,NOT
1,2,1,1,69,1,63.701,0,NOT
1,3,1,2,48,6,48.47200000000001,0,NOT
3,1,1,4,56,3,55.362,0,NOT
1,1,1,2,27,2,28.639,0,NOT
1,4,1,9,35,3,48.435,0,NOT
2,4,1,6,75,5,77.678,1,NOT
3,1,1,5,84,1,80.58999999999999,1,NOT
1,2,0,8,98,10,97.397,1,BEST
2,4,1,1,25,5,27.548,0,NOT
2,1,0,10,21,2,32.751000000000005,0,NOT
1,1,1,7,22,9,32.385999999999996,0,NOT
1,4,0,9,87,3,90.594,1,BEST
2,3,1,2,11,1,15.99,0,NOT
3,3,1,7,16,1,27.194,0,NOT
1,1,1,4,14,3,20.618000000000002,0,NOT
2,3,1,7,62,10,67.657,0,BEST
1,3,0,3,96,3,88.487,1,NOT
1,2,0,1,3,10,5.890000000000001,0,NOT
2,2,0,3,66,6,61.776,0,NOT
1,4,0,2,87,10,80.65400000000001,1,NOT
2,1,1,3,30,10,32.760999999999996,0,NOT
2,2,1,7,86,3,86.789,1,BEST
1,1,1,4,82,6,78.85000000000001,1,NOT
2,3,0,2,48,1,45.354000000000006,0,NOT
3,1,0,2,42,10,38.763,0,NOT
3,3,1,8,36,9,46.358,0,NOT
1,1,0,8,75,5,76.59,1,BEST
1,4,0,2,33,5,34.212,0,NOT
3,4,0,4,11,6,17.432,0,NOT
1,2,0,8,6,7,18.693,0,NOT
1,3,1,3,36,6,39.732,0,NOT
1,2,0,7,64,3,66.36699999999999,0,BEST
3,4,0,10,98,5,100.54299999999999,1,BEST
2,1,0,1,23,2,20.993000000000002,0,NOT
2,4,0,4,96,2,90.174,1,NOT
1,3,1,1,56,4,53.648,0,NOT
1,1,0,6,79,5,77.00999999999999,1,NOT
2,4,0,8,47,4,54.513000000000005,0,NOT
1,3,0,3,41,4,41.648,0,NOT
1,4,1,2,98,3,91.70199999999998,1,NOT
1,4,1,3,25,7,31.233,0,NOT
3,3,0,8,19,3,29.204,0,NOT
1,3,0,4,39,3,41.362,0,NOT
2,2,1,8,32,2,42.147,0,NOT
3,1,1,7,16,8,26.11,0,NOT
2,2,0,10,88,2,90.71,1,BEST
1,4,0,7,7,1,19.21,0,NOT
2,2,1,8,10,6,23.685,0,NOT
1,2,1,5,94,3,91.16199999999999,1,NOT
3,1,1,9,31,2,41.441,0,NOT
2,2,1,7,92,7,92.211,1,BEST
3,1,1,6,40,9,45.16199999999999,0,NOT
2,1,0,10,100,4,100.28999999999999,1,BEST
3,3,0,7,39,6,44.995999999999995,0,NOT
2,1,0,7,47,4,50.593,0,NOT
3,1,0,10,69,8,73.61,1,BEST
3,3,0,1,33,2,30.598000000000003,0,NOT
2,1,0,3,39,4,37.785,0,NOT
3,3,0,3,8,1,12.189,0,NOT
3,3,1,7,5,5,18.115,0,NOT
3,4,0,2,2,2,6.4590000000000005,0,NOT
3,4,1,10,16,7,32.946,0,NOT
3,3,1,7,21,7,31.915,0,NOT
2,4,1,10,20,1,36.443000000000005,0,NOT
3,1,0,9,40,1,46.845,0,NOT
3,2,0,2,14,4,15.231,0,NOT
3,4,0,9,11,9,25.14,0,NOT
2,4,0,7,21,9,31.219,0,NOT
1,3,0,5,79,4,77.054,1,NOT
2,1,1,2,71,9,66.16199999999999,0,NOT
2,2,0,2,30,10,29.876,0,NOT
3,1,1,1,96,2,84.918,1,NOT
1,1,0,10,96,1,97.191,1,BEST
2,2,0,9,13,8,25.695000000000004,0,NOT
3,2,1,10,93,5,96.859,1,BEST
1,2,0,8,88,10,88.867,1,BEST
2,2,1,3,92,4,85.999,1,NOT
1,4,1,4,73,7,73.67299999999999,1,NOT
2,3,0,9,10,9,24.02,0,NOT
3,3,0,10,43,7,52.97200000000001,0,NOT
3,1,1,9,19,1,31.129,0,NOT
3,2,0,10,22,9,34.403,0,NOT
2,4,0,9,70,10,76.084,1,BEST
1,1,0,2,41,3,38.46,0,NOT
1,3,1,1,95,7,87.14299999999999,1,NOT
2,1,1,2,65,3,60.588,0,NOT
3,2,1,4,50,7,51.355999999999995,0,NOT
1,2,0,6,62,5,63.317,0,NOT
3,1,0,2,52,4,46.837,0,NOT
3,4,1,8,68,9,74.46199999999999,1,BEST
3,1,0,1,61,4,53.018,0,NOT
2,3,0,1,75,6,67.269,0,NOT
1,4,1,5,98,1,96.03799999999998,1,NOT
2,1,0,7,61,6,62.687000000000005,0,BEST
